year mo dy flow_cfs
1930 11 18 1340
1930 11 19 1340
1930 11 20 1210
1930 11 21 1170
1930 11 22 1090
1930 11 23 1050
1930 11 24 1010
1930 11 25 936
1930 11 26 878
1930 11 27 856
1930 11 28 814
1930 11 29 774
1930 11 30 780
1930 12 01 787
1930 12 02 808
1930 12 03 842
1930 12 04 774
1930 12 05 828
1930 12 06 808
1930 12 07 794
1930 12 08 787
1930 12 09 774
1930 12 10 788
1930 12 11 802
1930 12 12 815
1930 12 13 828
1930 12 14 849
1930 12 15 828
1930 12 16 835
1930 12 17 814
1930 12 18 801
1930 12 19 780
1930 12 20 747
1930 12 21 728
1930 12 22 697
1930 12 23 680
1930 12 24 657
1930 12 25 651
1930 12 26 657
1930 12 27 657
1930 12 28 680
1930 12 29 674
1930 12 30 663
1930 12 31 663
1931 01 01 674
1931 01 02 668
1931 01 03 697
1931 01 04 691
1931 01 05 685
1931 01 06 710
1931 01 07 703
1931 01 08 697
1931 01 09 697
1931 01 10 722
1931 01 11 716
1931 01 12 710
1931 01 13 735
1931 01 14 808
1931 01 15 780
1931 01 16 741
1931 01 17 747
1931 01 18 754
1931 01 19 674
1931 01 20 560
1931 01 21 565
1931 01 22 588
1931 01 23 635
1931 01 24 624
1931 01 25 614
1931 01 26 640
1931 01 27 697
1931 01 28 728
1931 01 29 760
1931 01 30 760
1931 01 31 728
1931 02 01 716
1931 02 02 716
1931 02 03 710
1931 02 04 710
1931 02 05 722
1931 02 06 760
1931 02 07 760
1931 02 08 716
1931 02 09 703
1931 02 10 716
1931 02 11 767
1931 02 12 735
1931 02 13 716
1931 02 14 710
1931 02 15 703
1931 02 16 754
1931 02 17 741
1931 02 18 794
1931 02 19 835
1931 02 20 864
1931 02 21 849
1931 02 22 828
1931 02 23 814
1931 02 24 787
1931 02 25 747
1931 02 26 747
1931 02 27 754
1931 02 28 760
1931 03 01 728
1931 03 02 728
1931 03 03 780
1931 03 04 892
1931 03 05 892
1931 03 06 842
1931 03 07 842
1931 03 08 842
1931 03 09 835
1931 03 10 871
1931 03 11 885
1931 03 12 892
1931 03 13 914
1931 03 14 899
1931 03 15 871
1931 03 16 936
1931 03 17 1130
1931 03 18 1130
1931 03 19 1420
1931 03 20 1550
1931 03 21 1820
1931 03 22 2160
1931 03 23 2160
1931 03 24 1960
1931 03 25 1730
1931 03 26 1550
1931 03 27 1420
1931 03 28 1460
1931 03 29 1380
1931 03 30 1290
1931 03 31 1340
1931 04 01 1550
1931 04 02 1510
1931 04 03 1420
1931 04 04 1380
1931 04 05 1420
1931 04 06 1640
1931 04 07 1930
1931 04 08 2230
1931 04 09 2520
1931 04 10 2820
1931 04 11 3110
1931 04 12 3600
1931 04 13 4390
1931 04 14 4520
1931 04 15 4260
1931 04 16 3990
1931 04 17 4260
1931 04 18 4390
1931 04 19 3990
1931 04 20 3600
1931 04 21 3600
1931 04 22 3240
1931 04 23 3000
1931 04 24 2880
1931 04 25 2940
1931 04 26 3360
1931 04 27 3860
1931 04 28 4940
1931 04 29 5720
1931 04 30 7080
1931 05 01 8560
1931 05 02 10300
1931 05 03 12400
1931 05 04 13100
1931 05 05 13300
1931 05 06 12800
1931 05 07 15100
1931 05 08 12800
1931 05 09 9940
1931 05 10 8360
1931 05 11 8180
1931 05 12 9540
1931 05 13 12600
1931 05 14 15500
1931 05 15 20500
1931 05 16 21400
1931 05 17 18200
1931 05 18 13700
1931 05 19 10700
1931 05 20 9140
1931 05 21 7980
1931 05 22 7260
1931 05 23 7080
1931 05 24 7980
1931 05 25 10700
1931 05 26 13300
1931 05 27 12400
1931 05 28 11200
1931 05 29 10300
1931 05 30 10300
1931 05 31 11200
1931 06 01 11600
1931 06 02 11600
1931 06 03 10900
1931 06 04 9540
1931 06 05 8360
1931 06 06 7800
1931 06 07 7800
1931 06 08 7980
1931 06 09 7980
1931 06 10 7800
1931 06 11 7260
1931 06 12 6060
1931 06 13 5240
1931 06 14 4800
1931 06 15 4520
1931 06 16 4520
1931 06 17 4660
1931 06 18 4660
1931 06 19 4120
1931 06 20 3730
1931 06 21 3360
1931 06 22 3360
1931 06 23 3360
1931 06 24 3240
1931 06 25 2940
1931 06 26 2760
1931 06 27 2600
1931 06 28 2540
1931 06 29 2430
1931 06 30 2320
1931 07 01 2160
1931 07 02 2000
1931 07 03 1960
1931 07 04 2000
1931 07 05 1960
1931 07 06 2000
1931 07 07 1900
1931 07 08 1800
1931 07 09 1660
1931 07 10 1620
1931 07 11 1520
